match_id,tournament,year,surface,stage_code,same_country,same_language,rank_mean,opp_rank_mean,rank_gap,single_top100,exp_mean,exp_mean_sq,age_mean,win,pre_olympic,olympic_period,won_tb,tb_set,tb_type,ling_prox,ling_prox_binary,ling_prox_psw_tree,ling_prox_psw_cognet
67,Roland Garros,2018,Clay,2,1,1,12.0,40.0,4.0,0,10.5,110.25,31.5,1,0,0,1,1,7pt,1.0,1,1.0,1.0
67,Roland Garros,2018,Clay,2,0,0,40.0,12.0,4.0,0,18.5,342.25,36.5,0,0,0,0,2,7pt,0.25,0,0.22969455000000005,0.13042375
67,Roland Garros,2018,Clay,2,1,1,12.0,40.0,4.0,0,10.5,110.25,31.5,1,0,0,1,2,7pt,1.0,1,1.0,1.0
68,Roland Garros,2018,Clay,2,0,0,50.0,18.5,14.0,0,17.5,306.25,39.0,0,0,0,0,3,7pt,0.25,0,0.27058636999999996,0.29453829
68,Roland Garros,2018,Clay,2,1,1,18.5,50.0,1.0,0,13.0,169.0,31.5,1,0,0,1,3,7pt,1.0,1,1.0,1.0
76,Roland Garros,2018,Clay,2,0,0,30.5,74.5,11.0,0,6.5,42.25,27.0,0,0,0,1,1,7pt,0.0,0,0.04517572999999997,0.20310442
76,Roland Garros,2018,Clay,2,0,0,74.5,30.5,13.0,0,9.5,90.25,32.5,1,0,0,0,1,7pt,0.36250001192092896,1,0.25872545999999996,0.43995741
76,Roland Garros,2018,Clay,2,0,0,30.5,74.5,11.0,0,6.5,42.25,27.0,0,0,0,0,2,7pt,0.0,0,0.04517572999999997,0.20310442
76,Roland Garros,2018,Clay,2,0,0,74.5,30.5,13.0,0,9.5,90.25,32.5,1,0,0,1,2,7pt,0.36250001192092896,1,0.25872545999999996,0.43995741
81,Roland Garros,2018,Clay,2,1,1,259.0,721.0,290.0,0,10.0,100.0,28.5,0,0,0,0,2,7pt,1.0,1,1.0,1.0
81,Roland Garros,2018,Clay,2,1,1,721.0,259.0,910.0,0,19.5,380.25,37.0,1,0,0,1,2,7pt,1.0,1,1.0,1.0
84,Roland Garros,2018,Clay,2,0,0,66.5,43.0,7.0,0,9.0,81.0,28.0,0,0,0,0,1,7pt,0.5,0,0.47475523,0.40841019
84,Roland Garros,2018,Clay,2,0,0,43.0,66.5,26.0,0,14.5,210.25,32.0,1,0,0,1,1,7pt,0.75,0,0.68834653,0.69678515
84,Roland Garros,2018,Clay,2,0,0,66.5,43.0,7.0,0,9.0,81.0,28.0,0,0,0,1,2,7pt,0.5,0,0.47475523,0.40841019
84,Roland Garros,2018,Clay,2,0,0,43.0,66.5,26.0,0,14.5,210.25,32.0,1,0,0,0,2,7pt,0.75,0,0.68834653,0.69678515
84,Roland Garros,2018,Clay,2,0,0,66.5,43.0,7.0,0,9.0,81.0,28.0,0,0,0,0,3,7pt,0.5,0,0.47475523,0.40841019
84,Roland Garros,2018,Clay,2,0,0,43.0,66.5,26.0,0,14.5,210.25,32.0,1,0,0,1,3,7pt,0.75,0,0.68834653,0.69678515
85,Roland Garros,2018,Clay,2,0,0,21.0,242.0,24.0,0,17.5,306.25,37.5,0,0,0,1,1,7pt,0.25,0,0.25837027999999995,0.16764438
85,Roland Garros,2018,Clay,2,0,0,242.0,21.0,332.0,0,9.5,90.25,29.5,1,0,0,0,1,7pt,0.25,0,0.12143219000000005,0.14941365
85,Roland Garros,2018,Clay,2,0,0,21.0,242.0,24.0,0,17.5,306.25,37.5,0,0,0,0,2,7pt,0.25,0,0.25837027999999995,0.16764438
85,Roland Garros,2018,Clay,2,0,0,242.0,21.0,332.0,0,9.5,90.25,29.5,1,0,0,1,2,7pt,0.25,0,0.12143219000000005,0.14941365
89,Roland Garros,2018,Clay,2,0,1,112.0,501.5,118.0,0,13.0,169.0,30.0,0,0,0,0,3,7pt,0.8875000476837158,1,0.6669113,0.6979596
89,Roland Garros,2018,Clay,2,1,1,501.5,112.0,371.0,0,11.0,121.0,30.5,1,0,0,1,3,7pt,1.0,1,1.0,1.0
90,Roland Garros,2018,Clay,2,0,1,54.0,74.0,8.0,0,10.0,100.0,32.5,0,0,0,0,1,7pt,0.8875000476837158,1,0.6669113,0.6979596
90,Roland Garros,2018,Clay,2,1,1,74.0,54.0,84.0,1,6.5,42.25,27.5,1,0,0,1,1,7pt,1.0,1,1.0,1.0
91,Roland Garros,2018,Clay,2,0,0,74.5,54.5,15.0,0,10.0,100.0,32.0,0,0,0,1,1,7pt,0.25,0,0.37554002,0.36609644
91,Roland Garros,2018,Clay,2,0,0,54.5,74.5,11.0,0,13.5,182.25,30.5,1,0,0,0,1,7pt,0.5,0,0.50285801,0.49603325
92,Roland Garros,2018,Clay,2,1,1,437.0,86.0,186.0,0,4.0,16.0,23.0,0,0,0,0,1,7pt,1.0,1,1.0,1.0
92,Roland Garros,2018,Clay,2,0,0,86.0,437.0,2.0,0,12.5,156.25,30.0,1,0,0,1,1,7pt,0.75,0,0.57849321,0.63389355
98,Roland Garros,2018,Clay,3,1,1,159.0,12.0,128.0,0,9.5,90.25,27.0,0,0,0,0,2,7pt,1.0,1,1.0,1.0
98,Roland Garros,2018,Clay,3,1,1,12.0,159.0,4.0,0,10.5,110.25,31.5,1,0,0,1,2,7pt,1.0,1,1.0,1.0
99,Roland Garros,2018,Clay,3,1,1,45.0,18.5,12.0,0,14.5,210.25,33.0,0,0,0,0,2,7pt,1.0,1,1.0,1.0
99,Roland Garros,2018,Clay,3,1,1,18.5,45.0,1.0,0,13.0,169.0,31.5,1,0,0,1,2,7pt,1.0,1,1.0,1.0
101,Roland Garros,2018,Clay,3,0,1,76.5,23.0,7.0,0,9.0,81.0,27.5,0,0,0,0,1,7pt,1.0,1,0.55793491,0.5540092
101,Roland Garros,2018,Clay,3,0,1,23.0,76.5,16.0,0,12.5,156.25,33.5,1,0,0,1,1,7pt,0.0,1,0.17925000000000002,0.18077663
104,Roland Garros,2018,Clay,3,0,0,167.5,74.5,63.0,0,11.0,121.0,28.5,0,0,0,0,1,7pt,0.5,0,0.41720712000000004,0.50120014
104,Roland Garros,2018,Clay,3,0,0,74.5,167.5,13.0,0,9.5,90.25,32.5,1,0,0,1,1,7pt,0.36250001192092896,1,0.25872545999999996,0.43995741
112,Roland Garros,2018,Clay,4,1,1,721.0,7.5,910.0,0,19.5,380.25,37.0,0,0,0,0,1,7pt,1.0,1,1.0,1.0
112,Roland Garros,2018,Clay,4,0,0,7.5,721.0,1.0,0,8.5,72.25,29.0,1,0,0,1,1,7pt,0.0,0,0.32045548999999995,0.40157098
115,Roland Garros,2018,Clay,4,0,1,23.0,22.0,16.0,0,12.5,156.25,33.5,0,0,0,0,1,7pt,0.0,1,0.17925000000000002,0.18077663
115,Roland Garros,2018,Clay,4,0,0,22.0,23.0,2.0,0,15.0,225.0,34.0,1,0,0,1,1,7pt,0.25,0,0.35156208,0.21645801
115,Roland Garros,2018,Clay,4,0,1,23.0,22.0,16.0,0,12.5,156.25,33.5,0,0,0,0,2,7pt,0.0,1,0.17925000000000002,0.18077663
115,Roland Garros,2018,Clay,4,0,0,22.0,23.0,2.0,0,15.0,225.0,34.0,1,0,0,1,2,7pt,0.25,0,0.35156208,0.21645801
117,Roland Garros,2018,Clay,4,0,0,2.5,26.0,1.0,0,18.0,324.0,35.5,0,0,0,0,2,7pt,0.25,0,0.14773548000000003,0.23890541
117,Roland Garros,2018,Clay,4,0,0,26.0,2.5,4.0,0,15.5,240.25,36.5,1,0,0,1,2,7pt,0.0,0,0.15970169999999995,0.12863554
120,Roland Garros,2018,Clay,5,0,1,94.5,18.5,31.0,0,10.0,100.0,29.0,0,0,0,0,2,7pt,1.0,1,0.78069082,0.81991625
120,Roland Garros,2018,Clay,5,1,1,18.5,94.5,1.0,0,13.0,169.0,31.5,1,0,0,1,2,7pt,1.0,1,1.0,1.0
121,Roland Garros,2018,Clay,5,0,0,26.0,22.0,4.0,0,15.5,240.25,36.5,0,0,0,0,1,7pt,0.0,0,0.15970169999999995,0.12863554
121,Roland Garros,2018,Clay,5,0,0,22.0,26.0,2.0,0,15.0,225.0,34.0,1,0,0,1,1,7pt,0.25,0,0.35156208,0.21645801
122,Roland Garros,2018,Clay,5,0,0,7.5,24.0,1.0,0,8.5,72.25,29.0,0,0,0,1,2,7pt,0.0,0,0.32045548999999995,0.40157098
122,Roland Garros,2018,Clay,5,1,1,24.0,7.5,4.0,0,20.0,400.0,36.5,1,0,0,0,2,7pt,1.0,1,1.0,1.0
122,Roland Garros,2018,Clay,5,0,0,7.5,24.0,1.0,0,8.5,72.25,29.0,0,0,0,0,3,7pt,0.0,0,0.32045548999999995,0.40157098
122,Roland Garros,2018,Clay,5,1,1,24.0,7.5,4.0,0,20.0,400.0,36.5,1,0,0,1,3,7pt,1.0,1,1.0,1.0
125,Roland Garros,2018,Clay,7,0,0,2.5,18.5,3.0,0,13.5,182.25,31.5,0,0,0,0,2,7pt,0.25,0,0.35156208,0.21645801
125,Roland Garros,2018,Clay,7,1,1,18.5,2.5,1.0,0,13.0,169.0,31.5,1,0,0,1,2,7pt,1.0,1,1.0,1.0
126,US Open,2018,Hard,2,0,1,58.5,7.5,1.0,0,7.0,49.0,29.5,0,0,0,0,2,7pt,1.0,1,0.900353469,0.91253656
126,US Open,2018,Hard,2,0,0,7.5,58.5,1.0,0,8.5,72.25,29.0,1,0,0,1,2,7pt,0.0,0,0.32045548999999995,0.40157098
126,US Open,2018,Hard,2,0,1,58.5,7.5,1.0,0,7.0,49.0,29.5,0,0,0,0,3,7pt,1.0,1,0.900353469,0.91253656
126,US Open,2018,Hard,2,0,0,7.5,58.5,1.0,0,8.5,72.25,29.0,1,0,0,1,3,7pt,0.0,0,0.32045548999999995,0.40157098
131,US Open,2018,Hard,2,0,0,189.5,5.5,21.0,0,5.0,25.0,33.0,0,0,0,0,2,7pt,0.25,0,0.17189306000000004,0.28034297
131,US Open,2018,Hard,2,0,0,5.5,189.5,1.0,0,18.0,324.0,35.5,1,0,0,1,2,7pt,0.25,0,0.14773548000000003,0.23890541
133,US Open,2018,Hard,2,0,1,72.0,17.0,24.0,0,10.0,100.0,32.5,0,0,0,0,3,7pt,0.8875000476837158,1,0.6669113,0.6979596
133,US Open,2018,Hard,2,1,1,17.0,72.0,2.0,0,13.0,169.0,31.5,1,0,0,1,3,7pt,1.0,1,1.0,1.0
135,US Open,2018,Hard,2,0,0,82.0,23.0,12.0,0,5.0,25.0,24.5,0,0,0,1,2,7pt,0.25,0,0.29058516,0.4198128
135,US Open,2018,Hard,2,0,0,23.0,82.0,2.0,0,14.5,210.25,32.5,1,0,0,0,2,7pt,0.25,0,0.39463627,0.27279788
137,US Open,2018,Hard,2,1,1,250.0,35.5,76.0,0,7.5,56.25,25.5,0,0,0,0,3,7pt,1.0,1,1.0,1.0
137,US Open,2018,Hard,2,1,1,35.5,250.0,1.0,0,14.5,210.25,33.0,1,0,0,1,3,7pt,1.0,1,1.0,1.0
139,US Open,2018,Hard,2,0,0,49.0,30.5,32.0,0,17.0,289.0,37.5,0,0,0,0,2,7pt,0.4625000059604645,0,0.47926670000000005,0.54369944
139,US Open,2018,Hard,2,0,0,30.5,49.0,15.0,0,1.0,1.0,31.5,1,0,0,1,2,7pt,0.25,0,0.40302013999999997,0.39645278
140,US Open,2018,Hard,2,1,1,49.0,82.0,12.0,0,8.5,72.25,32.0,0,0,0,0,1,7pt,1.0,1,1.0,1.0
140,US Open,2018,Hard,2,0,0,82.0,49.0,36.0,0,12.5,156.25,31.5,1,0,0,1,1,7pt,0.0,0,0.07228427999999998,0.099671818
140,US Open,2018,Hard,2,1,1,49.0,82.0,12.0,0,8.5,72.25,32.0,0,0,0,0,2,7pt,1.0,1,1.0,1.0
140,US Open,2018,Hard,2,0,0,82.0,49.0,36.0,0,12.5,156.25,31.5,1,0,0,1,2,7pt,0.0,0,0.07228427999999998,0.099671818
141,US Open,2018,Hard,2,0,0,25.0,180.5,8.0,0,6.5,42.25,27.0,0,0,0,0,1,7pt,0.0,0,0.04517572999999997,0.20310442
141,US Open,2018,Hard,2,1,1,180.5,25.0,109.0,0,9.5,90.25,28.0,1,0,0,1,1,7pt,1.0,1,1.0,1.0
144,US Open,2018,Hard,2,0,0,50.5,45.0,3.0,0,18.5,342.25,36.5,0,0,0,0,2,7pt,0.25,0,0.22969455000000005,0.13042375
144,US Open,2018,Hard,2,0,0,45.0,50.5,2.0,0,10.0,100.0,29.0,1,0,0,1,2,7pt,0.5,0,0.50285801,0.49603325
145,US Open,2018,Hard,2,0,1,112.0,49.5,64.0,0,9.5,90.25,28.0,0,0,0,0,2,7pt,1.0,1,0.55793491,0.5540092
145,US Open,2018,Hard,2,0,0,49.5,112.0,9.0,0,14.5,210.25,32.0,1,0,0,1,2,7pt,0.75,0,0.68834653,0.69678515
153,US Open,2018,Hard,2,0,0,3.5,60.0,1.0,0,13.5,182.25,31.5,0,0,0,0,2,7pt,0.25,0,0.35156208,0.21645801
153,US Open,2018,Hard,2,0,0,60.0,3.5,24.0,0,12.5,156.25,30.0,1,0,0,1,2,7pt,0.75,0,0.57849321,0.63389355
155,US Open,2018,Hard,2,0,0,306.0,87.0,426.0,1,12.5,156.25,31.0,0,0,0,0,1,7pt,0.0,0,0.18542879999999995,0.13084383
155,US Open,2018,Hard,2,0,0,87.0,306.0,140.0,0,14.5,210.25,33.5,1,0,0,1,1,7pt,0.25,0,0.35156208,0.21645801
